Urdu text,Roman-Urdu text,category_id
واہ واہ واہ زبردست,wah wah wah zabardast,2
پھر کیسے پکڑتے ہیں,phir kaisay pakarte hain,8
سورہ البقرہ,surah al-baqrah,0
دانتوں کے چور,danoton ke chor,0
روسي کہانی,roosi kahani,6
فونٹ پیمائش,font pemaiesh,4
( خرم شہزاد خرم جو ليے ),( Khurram Shahzad Khurram jo liye ),7
مهدي نقوي حجاز :,mehdi naqvi Hijaz :,7
سلام علیکم عمار !,salam alaikum Amaar !,2
آج کی خبریں,aaj ki khabrain,0
کرکٹ کا تازہ سکور,cricket ka taza score,1
نئی فلم کا اعلان,nai film ka elaan,2
سیاسی صورتحال,siyasi surathaal,3
صحت مند رہنے کے طریقے,sehat mand rehne ke tareeqe,4
سائنس میں نئی دریافت,science mein nai daryaft,5
بچوں کے لیے کہانی,bachon ke liye kahani,6
خوبصورت غزلیں,khoobsurat ghazlain,7
سفرنامہ پاکستان,safarnama Pakistan,8
مزیدار بریانی کی ترکیب,mazedar biryani ki tarkeeb,9
فٹ بال ورلڈ کپ,football world cup,1
انتخابی نتائج,intikhabi nataij,3
بالی ووڈ اپ ڈیٹس,bollywood updates,2
ڈاکٹر کے مشورے,doctor ke mashwaray,4
خلائی تحقیق,khalaai tehqeeq,5
پرانی کہانیاں,purani kahaniyan,6
جدید شاعری,jadeed shayari,7
پہاڑی علاقوں کا سفر,pahari ilaqon ka safar,8
میٹھے پکوان,meethay pakwan,9
عالمی خبریں,aalmi khabrain,0
ایشیا کپ کرکٹ,asia cup cricket,1
پارلیمانی بحث,parlimani behas,3
مقبول گانے,maqbool ganay,2
بیماریوں سے بچاؤ,bimariyon se bachao,4
ٹیکنالوجی کا مستقبل,technology ka mustaqbil,5
لوک کہانیاں,lok kahaniyan,6
کلاسک غزلیں,classic ghazlain,7
سمندری سفر,samandari safar,8
نمکین پکوان,namkeen pakwan,9
بریکنگ نیوز,breaking news,0
ٹین وں کا کھیل,tennis ka khel,1
ملکی سیاست,mulki siyasat,3
ٹی وی ڈرامے,TV dramay,2
صحت اور خوراک,sehat aur khurak,4
مصنوعی ذہانت,masnooi zehanat,5
جن و پری کی کہانیاں,jin o pari ki kahaniyan,6
نئی نظمیں,nai nazmain,7
ریلوے کا سفر,railway ka safar,8
فاسٹ فوڈ کی ترکیب,fast food ki tarkeeb,9
اہم خبریں,aham khabrain,0
ہاکی ٹورنامنٹ,hockey tournament,1
حکومتی اعلانات,hakoomati elanat,3
فلمی ستارے,filmi sitare,2
فٹنس ٹپس,fitness tips,4
روبوٹکس,robotics,5
دلچسپ کہانیاں,dilchasp kahaniyan,6
شاعری مجموعہ,shayari majmooa,7
فضائی سفر,fizai safar,8
سبزیوں کے پکوان,sabziyon ke pakwan,9
تازہ ترین خبریں,taza tareen khabrain,0
اولمپکس کی تیاریاں,olympics ki tayyariyan,1
اسمبلی اجلاس,assembly ijlas,3
موسیقی کی دنیا,mauseeqi ki dunya,2
بچوں کی صحت,bachon ki sehat,4
انٹرنیٹ کی دنیا,internet ki dunya,5
مزاحیہ کہانیاں,mazahiya kahaniyan,6
محبت کی شاعری,mohabbat ki shayari,7
شہروں کا سفر,shehron ka safar,8
دالوں کے پکوان,dalon ke pakwan,9
عالمی سیاست,aalmi siyasat,3
فلمی خبریں,filmi khabrain,2
صحت کی نئی تحقیق,sehat ki nai tehqeeq,4
خلائی سیاحت,khalai sayahat,8
مزاحیہ شاعری,mazahiya shayari,7
بچوں کے لیے نظمیں,bachon ke liye nazmain,6
دفتری خبریں,daftari khabrain,0
بسکٹ بنانے کی ترکیب,biscuit banane ki tarkeeb,9
سائنس کی خبریں,science ki khabrain,5
کرکٹ کی خبریں,cricket ki khabrain,1
سیاسی تبصرے,siyasi tabsare,3
صحت مند زندگی,sehat mand zindagi,4
ٹیکنالوجی کے استعمال,technology ka istemal,5
پرندوں کی کہانیاں,parindon ki kahaniyan,6
رومانوی شاعری,romani shayari,7
تاریخی مقامات کا سفر,tarikhi maqamat ka safar,8
چاول کے پکوان,chawal ke pakwan,9
اہم اعلان,aham elaann,0
بیڈمنٹن میچ,badminton match,1
پارٹی خبریں,party khabrain,3
نئے گانے,naye ganay,2
بیماریوں کی علامات,bimariyon ki alamaat,4
نئے گیجٹس,naye gadgets,5
جانوروں کی کہانیاں,janwaron ki kahaniyan,6
جدائی کی شاعری,judai ki shayari,7
پکنک سپاٹس,picnic spots,8
سلاد کی ترکیب,salad ki tarkeeb,9
واہ واہ واہ زبردست,wah wah wah zabardast,8
پھر کیسے پکڑتے ہیں,phir kaisay pakarte hain,7
سورہ البقرہ,surah al-baqrah,3
دانتوں کے چور,danoton ke chor,4
ظالم سماج آڑے آگیا ہوگا,zalim samaaj usay agaya hoga,2
چھی چھی,chhe chhe,8
میرا سورج,mera Sooraj,0
آ گئی ہے جناب ! مگر پھر بھی بے ہوش ہی ہے !,aa gayi hai janab ! magar phir bhi be hosh hi hai !,2
آپ نہیں داخل ہوئے اس یتیم خانے میں ! بلقیس نے سنجیدگی سے پوچھا !,aap nahi dakhil hue is yateem khanay mein ! bilqees ne sanjeedgi se pucha !,2
آپ ہی بتا دیجئے نا . بابا تو .,aap hi bata dijiye na . baba to .,2
یہ شعر غالب کا ہے,yeh sher Ghalib ka hai,0
آج موسم بہت خوشگوار ہے,aaj mausam bohat khushgawar hai,4
خبروں کے مطابق...,khabron ke mutabiq...,1
نماز کا وقت ہو گیا ہے,namaz ka waqt ho gaya hai,3
جلدی کرو!,jaldi karo!,6
یہ کتاب پڑھو,yeh kitab parho,6
کیا حال ہے؟,kya haal hai?,7
بہت خوب!,bohat khoob!,8
کراچی کی خبریں,Karachi ki khabrain,1
جمعہ مبارک,Jumma Mubarak,3
چائے لاؤ,chai lao,6
تم کہاں تھے؟,tum kahan thay?,7
افسوس!,afsos!,8
شام کے وقت,sham ke waqt,4
قرآن مجید,Quran Majeed,3
سنو!,suno!,6
آپ کا نام کیا ہے؟,aap ka naam kya hai?,7
واہ!,wah!,8
تازہ ترین خبر,taza tareen khabar,1
درود شریف پڑھو,darood shareef parho,3
